Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Publication Stage,Open Access,Source,EID
"Zhang, M., Li, H., Chen, L., Fang, S., Xie, S., Lin, C.","55804074400; 25628302500; 57190747014; 57201635495; 56288976800; 8510082300","Three-dimensional reconstructed eccrine sweat glands with vascularization and cholinergic and adrenergic innervation",2018,"Journal of Molecular Histology",49,"4",,339,345,,2,10.1007/s10735-018-9773-4,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85045441991&partnerID=40&md5=d228bbd3827b6814234b5ede343f9764",Article,Final,,Scopus,2-s2.0-85045441991
"Yin, P., Mu, L.","54788482700; 24344683500","A hybrid method for fast detection of spatial disease clusters in irregular shapes",2018,"GeoJournal",83,"4",,693,705,,2,10.1007/s10708-017-9799-2,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85023765806&partnerID=40&md5=a19acd3422a90ac4b89e568d46f58511",Article,Final,,Scopus,2-s2.0-85023765806
"Askari, R., Hejazi, S.H., Sahimi, M.","57189994975; 36872310900; 35561714900","Thermal Conduction in Deforming Isotropic and Anisotropic Granular Porous Media with Rough Grain Surface",2018,"Transport in Porous Media",124,"1",,221,236,,5,10.1007/s11242-018-1060-z,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85045833946&partnerID=40&md5=a2e296d99b04fb58e3750e7973d1f171",Article,Final,,Scopus,2-s2.0-85045833946
"Silva-Junior, V., Souza, D.G., Queiroz, R.T., Souza, L.G.R., Ribeiro, E.M.S., Santos, B.A.","57200688372; 56008460500; 56719320900; 57214538074; 56652433400; 7006476950","Landscape urbanization threatens plant phylogenetic diversity in the Brazilian Atlantic Forest",2018,"Urban Ecosystems",21,"4",,625,634,,10,10.1007/s11252-018-0745-y,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85042176506&partnerID=40&md5=2a9d83bbc64d0a10a5f8110d771983cc",Article,Final,,Scopus,2-s2.0-85042176506
"Huang, H., Hu, Q., Qiao, X.","56015951500; 57203779470; 57203782901","Changes of eco-efficiency under green GDP and ecological footprints: A dynamic analysis in Jiangxi Province",2018,"Shengtai Xuebao/ Acta Ecologica Sinica",38,"15",,5473,5484,,5,10.5846/stxb201708151464,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85052961384&partnerID=40&md5=225cd08dd8d6353395225c79a976ca10",Article,Final,,Scopus,2-s2.0-85052961384
"Hunter, J.T.","7403251869","Complexities of shrub encroachment: are shrubs important for the maintenance of diversity in Themeda-dominated assemblages on coastal headlands in eastern Australia?",2018,"Journal of Coastal Conservation",22,"4",,667,677,,1,10.1007/s11852-018-0599-8,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85042128582&partnerID=40&md5=f357312d2db83c1a2400f67b0faba4af",Article,Final,,Scopus,2-s2.0-85042128582
"Veleva, V., Bodkin, G.","6603337854; 57194069946","Emerging drivers and business models for equipment reuse and remanufacturing in the US: lessons from the biotech industry",2018,"Journal of Environmental Planning and Management",61,"9",,1631,1653,,4,10.1080/09640568.2017.1369940,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85029899354&partnerID=40&md5=33e111948ddeff085f9c55cec6fe98a0",Article,Final,,Scopus,2-s2.0-85029899354
"Askoxylakis, I.","23391732500","A framework for pairing circular economy and the internet of things",2018,"IEEE International Conference on Communications",2018-May,"", 8422488,,,,7,10.1109/ICC.2018.8422488,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85051427081&partnerID=40&md5=90cba2b6c5f1d232d9ea44d8eafc90e6",Conference Paper,Final,,Scopus,2-s2.0-85051427081
"Anttonen, M., Lammi, M., Mykkänen, J., Repo, P.","14031156700; 56573755200; 55048428300; 16639367600","Circular economy in the Triple Helix of innovation systems",2018,"Sustainability (Switzerland)",10,"8", 2646,,,,9,10.3390/su10082646,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85051088778&partnerID=40&md5=1e7bd4c071549958dab429cbd79ee128",Article,Final,Open Access,Scopus,2-s2.0-85051088778
"Rose, C.M., Stegemann, J.A.","57200320205; 7005025101","Characterising existing buildings as material banks (E-BAMB) to enable component reuse",2018,"Proceedings of the Institution of Civil Engineers: Engineering Sustainability",172,"3",,129,140,,7,10.1680/jensu.17.00074,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85064336726&partnerID=40&md5=c5f936a607bace7b656927a62a558dd1",Article,Final,Open Access,Scopus,2-s2.0-85064336726
"Geissdoerfer, M., Morioka, S.N., de Carvalho, M.M., Evans, S.","57191488230; 56175656000; 8392510600; 57203513331","Business models and supply chains for the circular economy",2018,"Journal of Cleaner Production",190,"",,712,721,,152,10.1016/j.jclepro.2018.04.159,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85046156121&partnerID=40&md5=10bab31c3522a6d6ee3b412a0203e04f",Article,Final,,Scopus,2-s2.0-85046156121
"Bosman, R., Loorbach, D., Rotmans, J., van Raak, R.","56346738600; 24450788200; 7005311747; 23987129500","Carbon lock-out: Leading the fossil port of rotterdam into transition",2018,"Sustainability (Switzerland)",10,"7", 2558,,,,9,10.3390/su10072558,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85050310732&partnerID=40&md5=cd1aa292c437b9ce169c3f92b266a8e0",Article,Final,Open Access,Scopus,2-s2.0-85050310732
"Fonseca, L.M., Domingues, J.P., Pereira, M.T., Martins, F.F., Zimon, D.","56356558600; 55157224400; 56624034400; 35237538700; 56556951500","Assessment of circular economy within Portuguese organizations",2018,"Sustainability (Switzerland)",10,"7", 2521,,,,47,10.3390/su10072521,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85050313231&partnerID=40&md5=df8cc5b8d24d3c8f7a061bd3defa4860",Article,Final,Open Access,Scopus,2-s2.0-85050313231
"Koszewska, M.","6508328473","Circular Economy - Challenges for the Textile and Clothing Industry",2018,"Autex Research Journal",,"",,,,,25,10.1515/aut-2018-0023,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85050954128&partnerID=40&md5=c6787643e616b8359db3a85064dcedfc",[No source information available],Article in Press,Open Access,Scopus,2-s2.0-85050954128
"Sumter, D., Bakker, C., Balkenende, R.","57202943864; 37079951500; 7004183599","The role of product design in creating circular business models: A case study on the lease and refurbishment of baby strollers",2018,"Sustainability (Switzerland)",10,"7", 2415,,,,19,10.3390/su10072415,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85049905123&partnerID=40&md5=fcd1f8fcb0cabec5a1e9ebafb9cc61fc",Article,Final,Open Access,Scopus,2-s2.0-85049905123
"Sidhu, J.","57207873669","Sustainability performance-a key marketing tool for consumer brands",2018,"Strategic Marketing Issues in Emerging Markets",,"",,363,372,,1,10.1007/978-981-10-6505-7_32,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85063120509&partnerID=40&md5=46799cd601fabc8828f245869cf5b85f",Book Chapter,Final,,Scopus,2-s2.0-85063120509
"Nuñez-Cacho, P., Górecki, J., Molina-Moreno, V., Corpas-Iglesias, F.A.","57200687809; 36707622300; 52564194800; 57194281783","What gets measured, gets done: Development of a Circular Economy measurement scale for building industry",2018,"Sustainability (Switzerland)",10,"7", 2340,,,,37,10.3390/su10072340,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85049631819&partnerID=40&md5=1530e7ca50d8a2b8d9a7c7415587dcdb",Article,Final,Open Access,Scopus,2-s2.0-85049631819
"Lofthouse, V., Prendeville, S.","6506942267; 44261274200","Human-Centred Design of Products And Services for the Circular Economy–A Review",2018,"Design Journal",21,"4",,451,476,,12,10.1080/14606925.2018.1468169,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85048778504&partnerID=40&md5=0295bc27c1cc462c19050fa25492a05b",Article,Final,Open Access,Scopus,2-s2.0-85048778504
"Cherry, C.E., Pidgeon, N.F.","56581538000; 6701534396","Why is ownership an issue? Exploring factors that determine public acceptance of product-service systems",2018,"Sustainability (Switzerland)",10,"7", 2289,,,,14,10.3390/su10072289,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85049413015&partnerID=40&md5=36f4c231f4878d2049d7c8791ec06c26",Article,Final,Open Access,Scopus,2-s2.0-85049413015
"Perey, R., Benn, S., Agarwal, R., Edwards, M.","55804365200; 7003739018; 55429950900; 55465066100","The place of waste: Changing business value for the circular economy",2018,"Business Strategy and the Environment",27,"5",,631,642,,34,10.1002/bse.2068,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85049841975&partnerID=40&md5=81ecec59fc063cfb7d7dcd6762df2c52",Article,Final,,Scopus,2-s2.0-85049841975
"Veleva, V., Bodkin, G.","6603337854; 57194069946","Corporate-entrepreneur collaborations to advance a circular economy",2018,"Journal of Cleaner Production",188,"",,20,37,,37,10.1016/j.jclepro.2018.03.196,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85047454048&partnerID=40&md5=a6d3bc35001ca217802bf7fddd4511b8",Article,Final,,Scopus,2-s2.0-85047454048
"Hu, Y.D., Li, W.Q.","56150034600; 57195586411","Study on primary resonance and bifurcation of a conductive circular plate rotating in air-magnetic fields",2018,"Nonlinear Dynamics",93,"2",,671,687,,5,10.1007/s11071-018-4217-y,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85044477066&partnerID=40&md5=ce8ecdfe32adebee7a8053badb9d59a7",Article,Final,,Scopus,2-s2.0-85044477066
"Starovoitov, E.I., Leonenko, D.V., Tarlakovskii, D.V.","6701710375; 6507681230; 6506535524","Thermoelastic Deformation of a Circular Sandwich Plate by Local Loads",2018,"Mechanics of Composite Materials",54,"3",,299,312,,2,10.1007/s11029-018-9740-x,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85049691030&partnerID=40&md5=ba0557ed6647a38d7f430d0e82d92d2b",Article,Final,,Scopus,2-s2.0-85049691030
"Di Tullio, P., Valentinetti, D., Rea, M.A.","57207912593; 39262796800; 36544476100","The competitiveness of firms through the sustainable business model: A decade of research",2018,"Industria",39,"3",,357,386,,2,10.1430/92510,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85063200948&partnerID=40&md5=37dd58c1685b8d8bbbced21d00ee059c",Article,Final,,Scopus,2-s2.0-85063200948
"Pereira, Á., Villanueva-Rey, P., Vence, X., Moreira, M.T., Feijóo, G.","55510604700; 54894377200; 6506293939; 26424779900; 7003967670","Fresh milk supply through vending machines: Consumption patterns and associated environmental impacts",2018,"Sustainable Production and Consumption",15,"",,119,130,,8,10.1016/j.spc.2018.05.003,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85047929268&partnerID=40&md5=6553e37c8a188b95f7f8e4e2272af5e6",Article,Final,,Scopus,2-s2.0-85047929268
"Pindra, N., Leblond, J.-B., Kondo, D.","23980959100; 7004970069; 7005888671","Limit-analysis of a circular cylinder obeying the Green plasticity criterion and loaded in combined tension and torsion",2018,"Meccanica",53,"9",,2437,2446,,,10.1007/s11012-018-0833-3,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85042089180&partnerID=40&md5=fd89a9580b6021157035e0bfdf7b36c2",Article,Final,,Scopus,2-s2.0-85042089180
"Narayan, J.P., Kamal","56240931000; 55608940500","A scenario of ground shaking hazard in intracratonic circular basins developed by basin-generated surface waves: an earthquake engineering perspective",2018,"Natural Hazards",92,"3",,1841,1857,,1,10.1007/s11069-018-3284-1,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85045070731&partnerID=40&md5=ca60d414c73a4d5f079a7512ec21c911",Article,Final,,Scopus,2-s2.0-85045070731
"Goodarzi, R., Hajiesmaeilbaigi, F.","57202545358; 24474793900","Circular ripple formation on the silicon wafer surface after interaction with linearly polarized femtosecond laser pulses in air and water environments",2018,"Optical and Quantum Electronics",50,"7", 299,,,,5,10.1007/s11082-018-1562-5,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85050162200&partnerID=40&md5=8b7e3d4838ba99ec9b1e9d685d573563",Article,Final,,Scopus,2-s2.0-85050162200
"Breslavsky, I.D., Amabili, M.","23468834800; 7006347283","Nonlinear vibrations of a circular cylindrical shell with multiple internal resonances under multi-harmonic excitation",2018,"Nonlinear Dynamics",93,"1",,53,62,,6,10.1007/s11071-017-3983-2,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85037625841&partnerID=40&md5=c4f2e955520634f3fd7b41bc30fd081d",Article,Final,,Scopus,2-s2.0-85037625841
"Breiner, F.T., Bergamini, A.","56668741500; 9745864100","Improving the estimation of area of occupancy for IUCN Red List assessments by using a circular buffer approach",2018,"Biodiversity and Conservation",27,"9",,2443,2448,,4,10.1007/s10531-018-1555-5,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85046466485&partnerID=40&md5=69117c4e3d108451844a43a806abb9d3",Note,Final,,Scopus,2-s2.0-85046466485
"Rao, B.D., Chakraborty, H., Keller, S., Chattopadhyay, A.","55931954100; 7004384777; 8687883800; 7202920638","Aggregation Behavior of pHLIP in Aqueous Solution at Low Concentrations: A Fluorescence Study",2018,"Journal of Fluorescence",28,"4",,967,973,,3,10.1007/s10895-018-2260-1,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85049127854&partnerID=40&md5=2377510f07e06e189274d4b469100d1c",Article,Final,,Scopus,2-s2.0-85049127854
"Ferrari, F., Lavagna, M.","56732491300; 9744592800","Periodic motion around libration points in the Elliptic Restricted Three-Body Problem",2018,"Nonlinear Dynamics",93,"2",,453,462,,5,10.1007/s11071-018-4203-4,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85044386069&partnerID=40&md5=bf2a7d36e9fcf4a0f18cf7f20e1ce004",Article,Final,,Scopus,2-s2.0-85044386069
"Davydov, V.V., Kruzhalov, S.V., Grebenikova, N.M., Smirnov, K.Y.","7201851532; 6603186115; 57200070946; 57198356929","Method for Determining Defects on the Inner Walls of Tubing from the Velocity Distribution of the Flowing Fluid",2018,"Measurement Techniques",61,"4",,365,372,,42,10.1007/s11018-018-1435-0,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85051299173&partnerID=40&md5=5a8a9f1cc590c016ffb58f6531653e32",Article,Final,,Scopus,2-s2.0-85051299173
"Zhai, L., Kim, H.C., Kim, J.W., Kang, J., Kim, J.","55211649000; 56198641900; 57203324819; 57194900878; 47861080000","Elastic moduli of cellulose nanofibers isolated from various cellulose resources by using aqueous counter collision",2018,"Cellulose",25,"7",,4261,4268,,6,10.1007/s10570-018-1836-x,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85047365768&partnerID=40&md5=73f663fc00ae9c84eb96cadefdfdefe2",Article,Final,,Scopus,2-s2.0-85047365768
"Fan, Y., Xu, Y., Han, Q.-G., Shen, L.-L., Xu, H., Wu, Z.-B., Xu, X., Ying, M., He, Z.-D., Hu, Z.-L.","57202151303; 57197769779; 57192575199; 55818773800; 55493876900; 57192078609; 55706197800; 55818755400; 7403885660; 8688520600","Exploring inhibition mechanism and nature of lipase by Ligupurpuroside A extracted from Ku-Ding tea",2018,"Medicinal Chemistry Research",27,"7",,1822,1833,,5,10.1007/s00044-018-2194-9,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85047314532&partnerID=40&md5=874204df75040a0789987f45441dbcfb",Article,Final,,Scopus,2-s2.0-85047314532
"Rashidi, A., Namdar, A.","57193621558; 55928771700","Optical response of graphene/1D double-periodic quasi-crystals in the terahertz region under magnetic and electric biases",2018,"Optical and Quantum Electronics",50,"7", 279,,,,4,10.1007/s11082-018-1534-9,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85049304661&partnerID=40&md5=e0c7a2797f8990dc6c6ce8744c30bddf",Article,Final,,Scopus,2-s2.0-85049304661
"Mahesh Kumar, S.V., Gunasundari, R.","57140655100; 13409144700","Computer-Aided Diagnosis of Anterior Segment Eye Abnormalities using Visible Wavelength Image Analysis Based Machine Learning",2018,"Journal of Medical Systems",42,"7", 128,,,,8,10.1007/s10916-018-0980-z,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85048060034&partnerID=40&md5=c5741e2fb2a961671f69325a967110fa",Article,Final,,Scopus,2-s2.0-85048060034
"Dodonov, V.V., Horovits, M.B.","55682654303; 55027419900","Squeezing of Relative and Center-of-Orbit Coordinates of a Charged Particle by Step-Wise Variations of a Uniform Magnetic Field with an Arbitrary Linear Vector Potential",2018,"Journal of Russian Laser Research",39,"4",,389,400,,2,10.1007/s10946-018-9733-1,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85053694397&partnerID=40&md5=ad3777ab67b85e72889e7c91cf0ce9e0",Article,Final,,Scopus,2-s2.0-85053694397
"Bodlaender, H.L., Ono, H., Otachi, Y.","7006616392; 35362329600; 21935095200","Degree-Constrained Orientation of Maximum Satisfaction: Graph Classes and Parameterized Complexity",2018,"Algorithmica",80,"7",,2160,2180,,3,10.1007/s00453-017-0399-9,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85037641653&partnerID=40&md5=1aea57770d4b6222e3bdd84781dbb751",Article,Final,,Scopus,2-s2.0-85037641653
"Amabili, M.","7006347283","Nonlinear damping in large-amplitude vibrations: modelling and experiments",2018,"Nonlinear Dynamics",93,"1",,5,18,,75,10.1007/s11071-017-3889-z,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85032675671&partnerID=40&md5=5d5a4f5dbb793e5f9df19bc458c6147b",Article,Final,,Scopus,2-s2.0-85032675671
"Matveev, V.V., Onishchenko, E.A., Boginich, O.E.","7203051458; 55835173200; 7801577134","Vibration-Based Diagnostics of Transverse Surface Cracks in Rods of Different Cross Section Under Longitudinal Vibrations",2018,"Strength of Materials",50,"4",,540,556,,,10.1007/s11223-018-9999-0,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85055688884&partnerID=40&md5=9c7b1eb1d0668e3926b127af3ecf6a89",Article,Final,,Scopus,2-s2.0-85055688884
"Liang, Y., Xu, M., Xu, S.","56287077200; 55703575400; 55508606100","High-order solutions of motion near triangular libration points for arbitrary value of μ",2018,"Nonlinear Dynamics",93,"2",,909,932,,3,10.1007/s11071-018-4236-8,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85044739190&partnerID=40&md5=949947d491049e4aa4e9d0a6d5d40314",Article,Final,,Scopus,2-s2.0-85044739190
"Rushchitsky, J.J., Sinchilo, S.V.","10041258900; 6507847643","Variant of the Nonlinear Wave Equations Describing Cylindrical Axisymmetrical Waves",2018,"International Applied Mechanics",54,"4",,393,398,,1,10.1007/s10778-018-0892-0,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85053471655&partnerID=40&md5=b536f33e54d9d9a136656ca89c104571",Article,Final,,Scopus,2-s2.0-85053471655
"Kamotski, I.V., Smyshlyaev, V.P.","6507646851; 6603371374","Localized Modes Due to Defects in High Contrast Periodic Media Via Two-Scale Homogenization",2018,"Journal of Mathematical Sciences (United States)",232,"3",,349,377,,2,10.1007/s10958-018-3877-y,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85047892317&partnerID=40&md5=d159f517e80405b089ed7dfe9b75ecce",Article,Final,,Scopus,2-s2.0-85047892317
"González, L.E., Ordoñez, J.E., Zambrano, G., Porras-Montenegro, N.","54683983000; 55811574700; 55905472000; 10642104700","YBa<inf>2</inf>Cu<inf>3</inf>O<inf>7−x</inf>/BaTiO<inf>3</inf> 1D Superconducting Photonic Crystal with Tunable Broadband Response in the Visible Range",2018,"Journal of Superconductivity and Novel Magnetism",31,"7",,2003,2009,,14,10.1007/s10948-017-4427-4,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85035129125&partnerID=40&md5=c9b02e78778c752f45c4fe08f2974e45",Article,Final,,Scopus,2-s2.0-85035129125
"Voicescu, M., Ionescu, S., Lete, C.","55967076600; 16245208100; 12544986000","Physicochemical and Antioxidant Properties of Riboflavin in Dextran70/HSA Systems",2018,"Journal of Fluorescence",28,"4",,889,896,,2,10.1007/s10895-018-2251-2,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85049107087&partnerID=40&md5=6d12f4947f299320d256e59ad33b0c27",Article,Final,,Scopus,2-s2.0-85049107087
"Hu, J.-P., Zhang, Y., Shi, L.-L., Duan, P.-F.","57202757340; 55940804000; 57202765885; 56183673500","Structure of geodesics in the regular Hayward black hole space-time",2018,"General Relativity and Gravitation",50,"7", 89,,,,2,10.1007/s10714-018-2411-3,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85049264062&partnerID=40&md5=fd4463ab7d96e18693f051b935e179d0",Article,Final,,Scopus,2-s2.0-85049264062
"Hong, W.-T., Lee, J.-S.","56606613100; 55690048400","Estimation of ground cavity configurations using ground penetrating radar and time domain reflectometry",2018,"Natural Hazards",92,"3",,1789,1807,,1,10.1007/s11069-018-3278-z,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85044367212&partnerID=40&md5=825e31c85a076e80f0da2307de3a7d24",Article,Final,,Scopus,2-s2.0-85044367212
"Hodge, N.M., McMullen, C., Kleinschafer, J.","57200535520; 23985883500; 55913453600","Taking a deliberate approach: The enactment of brand orientation in an SME context",2018,"Journal of Brand Management",25,"4",,395,408,,8,10.1057/s41262-018-0095-3,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85041525235&partnerID=40&md5=11a1d93f090e31e5a7259345e8b4c547",Article,Final,,Scopus,2-s2.0-85041525235
"Araújo, A., Marinho, W., de Araújo Gomes, A.","57199507723; 57199507440; 54415643600","A Fast and Inexpensive Chemometric-Assisted Method to Identify Adulteration in Acai (Euterpe oleracea) Using Digital Images",2018,"Food Analytical Methods",11,"7",,1920,1926,,11,10.1007/s12161-017-1127-4,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85038110153&partnerID=40&md5=3a3a485792f4b9f5a2935157e65d74e4",Article,Final,,Scopus,2-s2.0-85038110153
"Asten, M.W., Hayashi, K.","6602847606; 7406144115","Application of the Spatial Auto-Correlation Method for Shear-Wave Velocity Studies Using Ambient Noise",2018,"Surveys in Geophysics",39,"4",,633,659,,14,10.1007/s10712-018-9474-2,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85048180318&partnerID=40&md5=070f2b04585520364dec388fe67bdcd0",Review,Final,,Scopus,2-s2.0-85048180318
"Rieckhof, R., Guenther, E.","57003733200; 23488964100","Integrating life cycle assessment and material flow cost accounting to account for resource productivity and economic-environmental performance",2018,"International Journal of Life Cycle Assessment",23,"7",,1491,1506,,9,10.1007/s11367-018-1447-7,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85045073052&partnerID=40&md5=e428af0ba809d5b58b95e7ee64deaa30",Article,Final,,Scopus,2-s2.0-85045073052
"Cheng, C.-C., Chou, H.-M.","57203021719; 7202063622","Applying the concept of circular economy - Using the cultural difference of European consumers as an example",2018,"Proceedings of 4th IEEE International Conference on Applied System Innovation 2018, ICASI 2018",,"",,449,452,,1,10.1109/ICASI.2018.8394281,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85050306930&partnerID=40&md5=ca0e6e37d567ab73eeacfe331c44b98e",Conference Paper,Final,,Scopus,2-s2.0-85050306930
"Chamberlin, L., Boks, C.","57202532022; 6603514191","Marketing approaches for a circular economy: Using design frameworks to interpret online communications",2018,"Sustainability (Switzerland)",10,"6", 2070,,,,16,10.3390/su10062070,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85048677755&partnerID=40&md5=769f60d202b1fdc37dd6b9fe83ab20ae",Article,Final,Open Access,Scopus,2-s2.0-85048677755
"Kopnina, H.","11541014500","Teaching circular economy: Overcoming the challenge of green-washing",2018,"Handbook of Engaged Sustainability",2-2,"",,809,833,,4,10.1007/978-3-319-71312-0_48,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85053960119&partnerID=40&md5=c1e04208cc30d26f285b13f4543273db",Book Chapter,Final,,Scopus,2-s2.0-85053960119
"Buch, R., O'Neill, D., Lubenow, C., DeFilippis, M., Dalrymple, M.","57203995992; 26029486700; 57203996375; 57203996449; 57196195307","Collaboration for regional sustainable circular economy innovation",2018,"Handbook of Engaged Sustainability",2-2,"",,703,728,,1,10.1007/978-3-319-71312-0_24,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85053981095&partnerID=40&md5=7291a7aa53fe029dced48ec4a97bf588",Book Chapter,Final,,Scopus,2-s2.0-85053981095
"Sarasini, S., Linder, M.","31767680300; 55827743700","Integrating a business model perspective into transition theory: The example of new mobility services",2018,"Environmental Innovation and Societal Transitions",27,"",,16,31,,37,10.1016/j.eist.2017.09.004,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85030851915&partnerID=40&md5=17c1fdf71a97b99e5a8c48e881c59619",Article,Final,,Scopus,2-s2.0-85030851915
"Guo, Y.-C., Zhang, Y., Cheng, X.-Y., Huang, P.-C., Fang, Z., Chen, W.-G.","57221181486; 57200411200; 56734943000; 47861110800; 56477912900; 8211538000","Series Solution for Magnetic Flux Density of Circular Current Loop and a Relevant Application",2018,"Journal of Fusion Energy",37,"2-3",,130,135,,,10.1007/s10894-018-0159-0,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85046707107&partnerID=40&md5=83b04607fd3b679bd323756ceb8d264d",Article,Final,,Scopus,2-s2.0-85046707107
"Antoniadou, K.I., Libert, A.-S.","52263275100; 9278036700","Origin and continuation of 3/2, 5/2, 3/1, 4/1 and 5/1 resonant periodic orbits in the circular and elliptic restricted three-body problem",2018,"Celestial Mechanics and Dynamical Astronomy",130,"6", 41,,,,6,10.1007/s10569-018-9834-8,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85047810314&partnerID=40&md5=20a87c2abb5a7c26cd944ecf6413048f",Article,Final,,Scopus,2-s2.0-85047810314
"Zhao, H., Guo, S., Zhao, H.","57212617386; 41861444000; 7404779739","Comprehensive benefit evaluation of eco-industrial parks by employing the best-worst method based on circular economy and sustainability",2018,"Environment, Development and Sustainability",20,"3",,1229,1253,,31,10.1007/s10668-017-9936-6,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85016030422&partnerID=40&md5=40c14b825bae47d25bbfa72c35d8b98d",Article,Final,,Scopus,2-s2.0-85016030422
"Zotos, E.E.","35108575900","Comparing the basins of attraction for several methods in the circular Sitnikov problem with spheroid primaries",2018,"Astrophysics and Space Science",363,"6", 113,,,,5,10.1007/s10509-018-3337-7,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85046628717&partnerID=40&md5=1fbb8d0384e9cacd508e6e4dd60287f4",Article,Final,,Scopus,2-s2.0-85046628717
"Deschamps, J., Simon, B., Tagnit-Hamou, A., Amor, B.","57200793819; 55515558800; 6602841367; 57200283237","Is open-loop recycling the lowest preference in a circular economy? Answering through LCA of glass powder in concrete",2018,"Journal of Cleaner Production",185,"",,14,22,,15,10.1016/j.jclepro.2018.03.021,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85046019831&partnerID=40&md5=56f3d095da8ae8a53b958d6b9eb89f93",Article,Final,,Scopus,2-s2.0-85046019831
"Harper, E.M., Crame, J.A., Sogot, C.E.","7102870794; 7003736942; 55746869100","“Business as usual”: Drilling predation across the K-Pg mass extinction event in Antarctica",2018,"Palaeogeography, Palaeoclimatology, Palaeoecology",498,"",,115,126,,1,10.1016/j.palaeo.2018.03.009,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85044058465&partnerID=40&md5=c3d908b866f08ea0c4c02b05ce36ce9e",Article,Final,,Scopus,2-s2.0-85044058465
"Chen, T., Mao, H., Wang, J.","57207772283; 7201796624; 56075133700","Optical chirality of the double “l” structure",2018,"Optical and Quantum Electronics",50,"6", 247,1,11,,,10.1007/s11082-018-1518-9,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85093845674&partnerID=40&md5=be4cdce66f76858a6d193dc2c1605826",Article,Final,,Scopus,2-s2.0-85093845674
